epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.079,0.44565,2.28346,1.13801,0.76083,0.78872,0.85052,0.80097,0.3272,0.77674,0.94108,0.00333211,0.00333211,0.00333211
2,1054,0.40937,1.15656,1.08544,0.8728,0.8861,0.9414,0.88739,0.34323,0.6115,0.94635,0.00644548,0.00644548,0.00644548
3,1567.76,0.42855,0.9609,1.09064,0.89201,0.92039,0.96896,0.90776,0.3462,0.49166,0.95683,0.00933885,0.00933885,0.00933885
4,2077.31,0.4123,0.78219,1.08016,0.95559,0.94509,0.98238,0.94609,0.28663,0.32786,0.88351,0.00901,0.00901,0.00901
5,2588.06,0.38298,0.64297,1.06303,0.96581,0.96679,0.98781,0.95835,0.25813,0.27862,0.84326,0.00868,0.00868,0.00868
6,3100.2,0.36688,0.57418,1.05464,0.97011,0.9828,0.99092,0.96676,0.25249,0.24708,0.8363,0.00835,0.00835,0.00835
7,3610.7,0.35666,0.53064,1.05,0.9786,0.98377,0.99137,0.97132,0.23857,0.2305,0.81859,0.00802,0.00802,0.00802
8,4121.11,0.34523,0.49285,1.04281,0.98267,0.98623,0.99229,0.97536,0.22396,0.21603,0.79934,0.00769,0.00769,0.00769
9,4630.38,0.33882,0.47025,1.03943,0.98268,0.98621,0.99246,0.97799,0.22305,0.20179,0.79621,0.00736,0.00736,0.00736
10,5139.01,0.33456,0.4502,1.0386,0.98961,0.98684,0.99267,0.98093,0.20511,0.18631,0.77814,0.00703,0.00703,0.00703
11,5647.58,0.32921,0.43342,1.03505,0.98733,0.98938,0.99265,0.98266,0.19623,0.17754,0.77367,0.0067,0.0067,0.0067
12,6156.2,0.32568,0.41629,1.03232,0.98926,0.99101,0.99297,0.98293,0.19926,0.17246,0.76979,0.00637,0.00637,0.00637
13,6666.6,0.32109,0.4042,1.03021,0.99012,0.99216,0.99327,0.98485,0.1917,0.16646,0.76392,0.00604,0.00604,0.00604
14,7178.33,0.31684,0.3911,1.0273,0.99152,0.99089,0.99355,0.98511,0.18995,0.16421,0.76007,0.00571,0.00571,0.00571
15,7689.59,0.31337,0.38749,1.02686,0.9914,0.99209,0.9934,0.98504,0.19296,0.16744,0.76247,0.00538,0.00538,0.00538
16,8199.14,0.30939,0.37221,1.02492,0.99321,0.99167,0.99352,0.98606,0.19081,0.1622,0.75789,0.00505,0.00505,0.00505
17,8706.63,0.30639,0.36318,1.02222,0.99226,0.99264,0.99353,0.98685,0.18316,0.15412,0.75039,0.00472,0.00472,0.00472
18,9213.67,0.30153,0.35236,1.01981,0.99137,0.99329,0.99355,0.98734,0.17936,0.15195,0.74697,0.00439,0.00439,0.00439
19,9723.55,0.29859,0.34642,1.01797,0.99407,0.991,0.99355,0.9878,0.17647,0.15182,0.74505,0.00406,0.00406,0.00406
20,10234,0.29644,0.33294,1.01767,0.99497,0.99018,0.99362,0.9878,0.17353,0.14811,0.74228,0.00373,0.00373,0.00373
21,10740.2,0.12906,0.17116,0.92747,0.99446,0.99063,0.99353,0.98866,0.16671,0.14354,0.73646,0.0034,0.0034,0.0034
22,11246.6,0.11975,0.15343,0.92137,0.99424,0.99142,0.99361,0.98924,0.16277,0.14211,0.73262,0.00307,0.00307,0.00307
23,11753.2,0.11383,0.14122,0.91859,0.99444,0.99162,0.99368,0.98996,0.16115,0.14129,0.73062,0.00274,0.00274,0.00274
24,12260.9,0.10933,0.12963,0.91579,0.99454,0.99169,0.99368,0.98997,0.16049,0.13956,0.72985,0.00241,0.00241,0.00241
25,12764.9,0.10555,0.12265,0.91467,0.99497,0.99178,0.99372,0.99025,0.15857,0.1374,0.72779,0.00208,0.00208,0.00208
26,13269.7,0.10355,0.11411,0.91223,0.99481,0.99221,0.99375,0.99053,0.15649,0.13476,0.7255,0.00175,0.00175,0.00175
27,13776,0.10015,0.10485,0.91083,0.99497,0.99193,0.99375,0.99074,0.15441,0.13305,0.72333,0.00142,0.00142,0.00142
28,14284.6,inf,0.09652,0.90781,0.99466,0.99266,0.99377,0.99083,0.15344,0.13166,0.72209,0.00109,0.00109,0.00109
29,14789.3,0.09294,0.09024,0.9066,0.99481,0.99265,0.99378,0.99089,0.15216,0.13068,0.72049,0.00076,0.00076,0.00076
30,15294.8,0.08952,0.0823,0.90438,0.99469,0.99293,0.99379,0.99086,0.15091,0.13023,0.71892,0.00043,0.00043,0.00043
